Repositório,Intervalo Criação e Última Atividade,Participantes PR,Caracteres Corpo PR,Revisões,Comentários PR,Arquivos Alterados,Linhas Adicionadas,Linhas Excluídas,APPROVED,CHANGES_REQUESTED,REVIEW_REQUIRED
practical-tutorials/project-based-learning,1457.55,1.78,508.03,13,80,108,804,197,6,1,0
prakhar1989/awesome-courses,3935.14,2.25,120.75,8,3,4,63,1,0,0,0
protocolbuffers/protobuf,48.11,0.78,173.21,5,18,373,11757,8571,5,0,95
public-apis/public-apis,1607.94,1.44,508.57,7,30,364,24333,8265,0,0,0
puppeteer/puppeteer,20.11,1.8,1341.02,119,41,3403,9557,7177,89,0,11
python/cpython,15.49,3.07,393.23,176,181,248,5908,2658,55,0,0
pytorch/pytorch,21.05,3.61,452.77,146,536,359,14871,7859,87,0,0
rails/rails,45.33,2.45,958.81,184,106,307,7048,2141,12,1,0
redis/redis,164.79,5.37,915.37,538,563,935,24747,8695,52,0,48
reduxjs/redux,218.23,2.65,456.3,29,290,795,178526,382823,2,0,0
resume/resume.github.com,2881.23,2.5,89.56,10,182,147,1108,1142,0,0,0
ripienaar/free-for-dev,33.26,2.04,344.92,71,107,118,2501,1934,2,1,0
rust-lang/rust,14.25,6.0,400.04,134,560,1348,20342,11051,17,1,0
rustdesk/rustdesk,6.07,1.83,139.13,3,12,542,11011,4981,0,0,0
ryanmcdermott/clean-code-javascript,2278.15,2.3,84.22,22,145,100,6739,6443,0,0,0
scikit-learn/scikit-learn,66.99,2.87,396.6,265,286,606,8669,5524,86,0,12
sdmg15/Best-websites-a-programmer-should-visit,593.91,1.97,411.18,3,39,102,647,273,1,0,0
shadcn-ui/ui,174.07,2.0,218.63,58,213,922,52922,4971,22,0,78
shadowsocks/shadowsocks-windows,444.03,1.08,2838.32,45,100,589,42554,24525,6,0,0
sindresorhus/awesome,1355.12,3.59,6304.26,82,393,182,2873,3956,0,0,0
sindresorhus/awesome-nodejs,1902.89,2.02,389.02,23,108,100,353,432,0,0,0
socketio/socket.io,924.12,2.89,660.73,35,170,870,88723,71488,0,0,0
spring-projects/spring-boot,70.99,3.64,505.56,27,220,8320,198210,352579,1,3,0
spring-projects/spring-framework,42.17,3.79,333.45,20,151,759,12749,5493,1,0,0
storybookjs/storybook,64.44,3.16,2076.8,194,148,1887,86292,18207,67,1,18
strapi/strapi,51.05,2.68,319.68,299,235,2559,43502,45570,90,0,5
supabase/supabase,21.61,2.13,707.29,168,214,647,39606,29982,82,1,16
sveltejs/svelte,16.13,1.73,479.78,111,126,556,5324,2692,44,0,0
swisskyrepo/PayloadsAllTheThings,331.7,2.0,82.29,1,14,534,3217,84676,0,0,0
syncthing/syncthing,134.83,1.5,1250.28,118,134,326,3324,2275,48,0,52
tailwindlabs/tailwindcss,24.06,2.36,562.03,183,73,1270,45715,1304087,85,0,14
tauri-apps/tauri,52.01,2.04,432.16,152,99,1148,13049,6146,90,0,10
tensorflow/models,1148.06,2.56,949.24,143,98,446,27463,6984,42,4,52
tensorflow/tensorflow,3.99,0.9,81.73,0,1,519,4335,5269,0,0,1
tesseract-ocr/tesseract,103.66,2.22,222.77,88,119,248,1210,4707,34,4,0
thedaviddias/Front-End-Checklist,1310.93,1.85,587.68,36,114,351,45517,66698,18,0,0
tiangolo/fastapi,176.56,2.9,541.56,173,251,626,8349,4354,6,1,0
tonsky/FiraCode,470.87,2.22,193.71,12,166,361,26827,25788,0,0,0
trekhleb/javascript-algorithms,1444.9,1.75,134.67,21,37,334,35832,12755,0,0,0
trimstray/the-book-of-secret-knowledge,1685.65,3.06,84.87,93,137,110,11686,396,1,0,99
twbs/bootstrap,57.5,1.78,1882.56,81,51,996,44763,26679,54,4,42
twitter/the-algorithm,866.16,5.69,230.68,88,440,65085,1937315,9206397,0,0,0
typicode/json-server,2719.06,1.82,558.65,14,44,473,95251,122430,0,0,0
ventoy/Ventoy,481.8,1.91,47.44,16,33,119,1937,1612,0,0,0
vercel/next.js,17.92,2.82,241.92,135,222,642,90485,40996,71,0,29
vinta/awesome-python,3328.98,2.11,475.23,65,69,101,3346,4335,0,0,0
vitejs/vite,40.01,2.23,1444.54,165,258,641,9438,6756,77,0,16
vuejs/awesome-vue,256.66,1.96,1481.92,4,52,100,152,40,3,0,0
vuejs/vue,176.29,4.4,1053.25,5,38,3852,338978,755654,2,1,0
webpack/webpack,64.51,2.06,1792.17,81,167,614,12521,6127,46,0,0
xingshaocheng/architect-awesome,314.22,1.91,13.72,0,8,54,1229,81,0,0,0
xtekky/gpt4free,15.69,1.47,115.19,53,95,676,15753,6795,0,0,0
yangshun/tech-interview-handbook,68.32,1.54,42.55,43,11,386,65175,4615,34,1,0
yt-dlp/yt-dlp,91.25,2.7,1176.07,278,194,154,6651,3997,60,2,0
ytdl-org/youtube-dl,1232.0,2.33,1510.44,188,224,1046,15602,14299,16,11,0
